X;Y;Type
5.06316;36.7512;Green zones
5.0785;36.7544;Green zones
5.07683;36.7528;Green zones
5.04414;36.751;Green zones
5.07504;36.7535;Green zones
4.5567;36.4698;Green zones
5.08938;36.7615;Green zones
5.0865;36.7571;Green zones
5.08358;36.753;Orange zones
5.07465;36.7529;Green zones
5.07138;36.7559;Green zones
5.05688;36.7497;Green zones
5.04951;36.7463;Red zones
5.04683;36.7341;Green zones
5.04326;36.7414;Green zones
5.0552;36.7571;Green zones
5.0697;36.7434;Green zones
5.07392;36.7164;Green zones
5.16766;36.66577;Green zones
4.53511;36.4642;Green zones
4.8543;36.6795;Green zones
5.33635;36.627;Green zones
5.35642;36.6391;Green zones
4.90578;36.6455;Green zones
4.68886;36.6123;Green zones
5.26369;36.481;Orange zones
5.27049;36.5388;Orange zones
5.3219;36.5577;Green zones
5.22975;36.6369;Orange zones
4.39214;36.3851;Orange zones
4.48056;36.3485;Orange zones
4.67994;36.4392;Green zones
4.75981;36.5032;Green zones
4.69805;36.5269;Green zones
4.67331;36.5594;Green zones
4.95353;36.5751;Orange zones
4.76506;36.6213;Orange zones
4.61422;36.5407;Green zones
4.97749;36.7126;Green zones
5.03721;36.7018;Orange zones
5.26682;36.3995;Green zones
4.65997;36.6159;Orange zones
4.63214;36.629;Green zones
4.9146;36.7479;Green zones
4.61971;36.5968;Green zones
4.697;36.7009;Green zones
4.9521;36.8271;Green zones
5.04922;36.7387;Green zones
4.85705;36.5547;Green zones
4.48612;36.3758;Green zones
4.56543;36.4827;Green zones
5.03594;36.7416;Green zones
5.06582;36.7526;Green zones
5.05626;36.7516;Green zones
4.66492;36.6413;Green zones
4.68511;36.8823;Green zones
5.15148;36.6688;Green zones
5.24614;36.638;Green zones
4.6452;36.5707;Green zones
4.41357;36.3514;Orange zones
4.82217;36.6094;Green zones
4.493;36.46;Orange zones
4.41399;36.4288;Red zones
5.11628;36.6217;Green zones
5.22985;36.5363;Orange zones
5.2008;36.6048;Green zones
5.16766;36.66577;Green zones
4.40345;36.3821;Green zones
4.39098;36.3899;Green zones
4.53125;36.4568;Green zones
4.5283;36.4683;Green zones
4.60155;36.5285;Green zones
4.63155;36.5919;Green zones
4.77122;36.6243;Orange zones
4.96345;36.7069;Green zones
5.01475;36.7102;Green zones
5.05638;36.7302;Green zones
5.06166;36.737;Green zones
5.0623;36.7488;Green zones
5.03962;36.7441;Green zones
5.07144;36.749;Green zones
5.33186;36.6225;Green zones
5.34355;36.6214;Green zones
4.56589;36.7336;Green zones
4.6271;36.8819;Green zones
4.71844;36.8796;Green zones
4.91966;36.8482;Green zones
4.84009;36.8659;Green zones
5.13489;36.6778;Green zones
5.18391;36.6573;Green zones
5.25971;36.6391;Green zones
5.32218;36.6395;Green zones
5.42232;36.6503;Green zones
5.06042;36.7669;Green zones
5.03263;36.7475;Green zones
5.0728;36.7527;Green zones
5.05046;36.7334;Green zones
5.37571;36.573;Green zones
4.63037;36.6024;Green zones
4.50815;36.4913;Green zones
4.63392;36.4744;Green zones
4.80468;36.5548;Green zones
4.71757;36.5608;Orange zones
5.27867;36.4929;Green zones
4.52673;36.4526;Green zones
4.65446;36.5816;Orange zones
4.94173;36.6965;Green zones
4.68972;36.5472;Red zones
4.8181;36.6168;Orange zones
5.05502;36.7353;Green zones
5.04121;36.7344;Green zones
5.05988;36.7422;Green zones
5.07283;36.7602;Green zones
5.04709;36.752;Green zones
4.79468;36.6937;Green zones
4.5492;36.4658;Green zones
5.00195;36.7771;Green zones
5.31353;36.4495;Green zones
5.34619;36.5911;Green zones
5.05532;36.748;Orange zones
5.13972;36.677;Green zones
5.36482;36.64172;Green zones
5.24072;36.6324;Green zones
5.04973;36.7497;Green zones
4.58615;36.5162;Orange zones
4.85035;36.6841;Green zones
4.65514;36.4003;Orange zones
5.0298;36.539;Green zones
4.76054;36.7208;Green zones
4.74538;36.8038;Green zones
5.07232;36.7249;Green zones
4.4857;36.364;Green zones
4.47262;36.411;Green zones
5.02718;36.7735;Green zones
4.85162;36.6757;Green zones
4.8557;36.7786;Green zones
4.6737;36.4829;Green zones
5.06664;36.7315;Red zones
4.51979;36.4682;Green zones
5.05636;36.7013;Green zones
4.3983;36.388;Green zones
4.6197;36.6395;Green zones
4.68907;36.7507;Green zones
4.6804;36.6318;Green zones
5.28242;36.4894;Green zones
4.41898;36.4449;Green zones
4.67743;36.6104;Orange zones
5.2029;36.4574;Green zones
5.2368;36.6012;Green zones
4.5028;36.5117;Green zones
5.3415;36.5309;Green zones
4.6026;36.5402;Green zones
5.2385;36.5538;Green zones
4.3588;36.3367;Green zones
5.04656;36.7276;Green zones
4.39848;36.3936;Green zones
4.54069;36.4569;Green zones
4.85671;36.6871;Orange zones
4.69613;36.6187;Orange zones
4.37895;36.3705;Orange zones
4.53546;36.4532;Orange zones
4.4652;36.3853;Orange zones
4.6701;36.6112;Green zones
4.7752;36.6139;Orange zones
4.6083;36.4957;Orange zones
5.2978;36.6236;Green zones
4.7147;36.6121;Green zones
4.6863;36.6027;Orange zones
4.9253;36.5839;Green zones
5.23166;36.4806;Orange zones
5.1586;36.6664;Green zones
5.19046;36.6525;Green zones
5.0585;36.7599;Green zones
4.68706;36.5449;Green zones
4.57921;36.729;Green zones
4.8919;36.5446;Green zones
5.27765;36.4303;Green zones
